AÑO,DECADA,AÑO_NM,MINUTOS,HORAS,DURACION_NM,GENERO,GENERO_NUM,GENERO_NM,DIRECCION,DIRECCION_NUM,PROTAGONISTA,PROTAGONISTA_NUM,JUAN_PALOMO,PAIS,PAIS_NUM,PAIS_NM,VOTOS,POPULARIDAD,POPULARIDAD_NM,NOTA
1985,80,6.724,101,1,6.486925287356322,Drama,7,6.638080216313655,Lasse Hallström,1232,Pierre Blaise,1770,0,Francia,29,6.605418719211823,1804,1,6.494793536804309,7.1
2022,120,6.454545454545454,110,1,6.486925287356322,Drama,7,6.638080216313655,Fernando Franco,631,Valeria Sorolla,2175,0,España,25,6.403389830508475,2003,1,6.494793536804309,6.6
2017,110,6.397093023255814,108,1,6.486925287356322,Drama,7,6.638080216313655,Ritesh Batra,1788,Jim Broadbent,1054,0,Reino Unido,60,6.503030303030303,1126,1,6.494793536804309,5.9
2014,110,6.441530054644809,124,2,6.708482438701127,Drama,7,6.638080216313655,Olivier Assayas,1598,Juliette Binoche,1172,0,Francia,29,6.605418719211823,4470,1,6.494793536804309,6.5
2014,110,6.441530054644809,100,1,6.486925287356322,Terror,13,6.301785714285715,David Robert Mitchell,481,Maika Monroe,1408,0,Estados Unidos,26,6.506012378426171,25599,1,6.494793536804309,6.3
2015,110,6.403048780487804,118,1,6.486925287356322,Drama,7,6.638080216313655,Paolo Sorrentino,1623,Michael Caine,1548,0,Italia,41,6.670769230769231,19981,1,6.494793536804309,7.0
2013,110,6.417575757575758,116,1,6.486925287356322,Thriller,14,6.4992,Zal Batmanglij,2203,Brit Marling,292,0,Estados Unidos,26,6.506012378426171,5822,1,6.494793536804309,6.1
1974,70,6.917073170731708,144,2,6.708482438701127,Drama,7,6.638080216313655,Jack Clayton,857,Robert Redford,1860,0,Estados Unidos,26,6.506012378426171,5443,1,6.494793536804309,6.3
2004,100,6.620125786163522,98,1,6.486925287356322,Drama,7,6.638080216313655,Danny Boyle,439,Alex Etel,70,0,Reino Unido,60,6.503030303030303,5169,1,6.494793536804309,6.3
2017,110,6.397093023255814,96,1,6.486925287356322,Comedia,6,6.479304635761589,Álex de la Iglesia,2210,Belén Rueda,220,0,España,25,6.403389830508475,39078,1,6.494793536804309,6.4
2017,110,6.397093023255814,101,1,6.486925287356322,Drama,7,6.638080216313655,Marc Webb,1338,Chris Evans,384,0,Estados Unidos,26,6.506012378426171,6488,1,6.494793536804309,6.5
2012,110,6.419580419580419,92,1,6.486925287356322,Comedia,6,6.479304635761589,Marialy Rivas,1356,Alicia Rodríguez,83,0,Chile,16,6.54375,1457,1,6.494793536804309,5.8
2004,100,6.620125786163522,94,1,6.486925287356322,Drama,7,6.638080216313655,Pablo Malo,1612,Marisa Paredes,1457,0,España,25,6.403389830508475,1737,1,6.494793536804309,6.2
1990,90,6.667796610169491,115,1,6.486925287356322,Cine negro,5,6.752380952380953,Joel Coen,996,Gabriel Byrne,723,0,Estados Unidos,26,6.506012378426171,58905,2,6.897883597883598,7.8
2003,100,6.609259259259259,110,1,6.486925287356322,Drama,7,6.638080216313655,Cesc Gay,315,Mónica López,1620,0,España,25,6.403389830508475,7189,1,6.494793536804309,6.8
2013,110,6.417575757575758,90,1,6.486925287356322,Comedia,6,6.479304635761589,Pierfrancesco Diliberto,1717,Alex Bisconti,69,0,Italia,41,6.670769230769231,1031,1,6.494793536804309,6.4
2018,110,6.404117647058824,105,1,6.486925287356322,Drama,7,6.638080216313655,Antoine Raimbault,149,Marina Foïs,1453,0,Francia,29,6.605418719211823,1102,1,6.494793536804309,6.2
2020,120,6.343877551020409,124,2,6.708482438701127,Bélico,3,6.7035294117647055,Matthijs van Heijningen Jr.,1419,Tom Felton,2131,0,Países Bajos (Holanda),56,6.508333333333333,2843,1,6.494793536804309,6.3
1992,90,6.7942857142857145,125,2,6.708482438701127,Intriga,10,6.5185,David Seltzer,484,Michael Douglas,1550,0,Estados Unidos,26,6.506012378426171,3352,1,6.494793536804309,6.2
2017,110,6.397093023255814,112,1,6.486925287356322,Thriller,14,6.4992,Israel Adrián Caetano,846,Daniel Hendler,478,0,Argentina,5,6.716842105263158,1600,1,6.494793536804309,6.5
1999,90,6.656880733944955,109,1,6.486925287356322,Drama,7,6.638080216313655,Alfonso Albacete,76,Emma Suárez,624,0,España,25,6.403389830508475,6285,1,6.494793536804309,5.9
1997,90,6.64367816091954,137,2,6.708482438701127,Drama,7,6.638080216313655,Hal Hartley,772,Thomas Jay Ryan,2105,0,Estados Unidos,26,6.506012378426171,1266,1,6.494793536804309,6.8
2017,110,6.397093023255814,127,2,6.708482438701127,Drama,7,6.638080216313655,Destin Cretton,511,Brie Larson,289,0,Estados Unidos,26,6.506012378426171,3764,1,6.494793536804309,6.5
2004,100,6.620125786163522,150,2,6.708482438701127,Drama,7,6.638080216313655,José Luis Garci,1110,María Adánez,1487,0,España,25,6.403389830508475,2492,1,6.494793536804309,5.9
1987,80,6.59,91,1,6.486925287356322,Terror,13,6.301785714285715,Bigas Luna,230,Zelda Rubinstein,2274,0,España,25,6.403389830508475,3640,1,6.494793536804309,6.3
2014,110,6.441530054644809,107,1,6.486925287356322,Drama,7,6.638080216313655,Ignacio Vilar,828,Karra Elejalde,1199,0,España,25,6.403389830508475,2807,1,6.494793536804309,6.6
1988,80,6.66,127,2,6.708482438701127,Drama,7,6.638080216313655,Costa-Gavras,391,Tom Berenger,2128,0,Estados Unidos,26,6.506012378426171,1620,1,6.494793536804309,6.0
2017,110,6.397093023255814,102,1,6.486925287356322,Drama,7,6.638080216313655,Michel Hazanavicius,1473,Louis Garrel,1363,0,Francia,29,6.605418719211823,1263,1,6.494793536804309,5.9
1999,90,6.656880733944955,100,1,6.486925287356322,Ciencia ficción,4,6.490526315789474,Josef Rusnak,1088,Craig Bierko,439,0,Estados Unidos,26,6.506012378426171,12515,1,6.494793536804309,6.6
2013,110,6.417575757575758,121,2,6.708482438701127,Drama,7,6.638080216313655,John Wells,1046,Meryl Streep,1539,0,Estados Unidos,26,6.506012378426171,20390,1,6.494793536804309,6.7
1980,80,6.839393939393939,105,1,6.486925287356322,Ciencia ficción,4,6.490526315789474,Don Taylor,533,Kirk Douglas,1251,0,Estados Unidos,26,6.506012378426171,4763,1,6.494793536804309,6.3
2021,120,6.423846153846154,130,2,6.708482438701127,Drama,7,6.638080216313655,Paolo Sorrentino,1623,Filippo Scotti,683,0,Italia,41,6.670769230769231,14145,1,6.494793536804309,7.1
2008,100,6.485135135135135,115,1,6.486925287356322,Drama,7,6.638080216313655,Neil Burger,1547,Rachel McAdams,1787,0,Estados Unidos,26,6.506012378426171,1036,1,6.494793536804309,6.0
2017,110,6.397093023255814,116,1,6.486925287356322,Drama,7,6.638080216313655,Joachim Trier,982,Eili Harboe,579,0,Noruega,51,6.458333333333333,6205,1,6.494793536804309,6.5
2013,110,6.417575757575758,98,1,6.486925287356322,Animación,1,6.707727272727273,Pierre Coffin,1718, ,0,0,Estados Unidos,26,6.506012378426171,38649,1,6.494793536804309,6.6
1993,90,6.778947368421053,90,1,6.486925287356322,Drama,7,6.638080216313655,Ken Loach,1178,Bruce Jones,300,0,Reino Unido,60,6.503030303030303,4198,1,6.494793536804309,7.2
2006,100,6.53855421686747,91,1,6.486925287356322,Drama,7,6.638080216313655,György Pálfi,764,Haley Joel Osment,814,0,Estados Unidos,26,6.506012378426171,2757,1,6.494793536804309,6.2
1973,70,6.911904761904762,102,1,6.486925287356322,Terror,13,6.301785714285715,Douglas Hickox,540,Vincent Price,2202,0,Reino Unido,60,6.503030303030303,1054,1,6.494793536804309,6.4
2010,110,6.513669064748202,120,2,6.708482438701127,Drama,7,6.638080216313655,David Fincher,458,Jesse Eisenberg,1042,0,Estados Unidos,26,6.506012378426171,95421,3,7.1856,6.9
2019,110,6.450292397660819,116,1,6.486925287356322,Comedia,6,6.479304635761589,Sebastián Borensztein,1924,Ricardo Darín,1821,0,Argentina,5,6.716842105263158,10503,1,6.494793536804309,6.6
2021,120,6.423846153846154,95,1,6.486925287356322,Ciencia ficción,4,6.490526315789474,Kogonada,1211,Colin Farrell,426,0,Estados Unidos,26,6.506012378426171,1851,1,6.494793536804309,5.9
1988,80,6.66,116,1,6.486925287356322,Drama,7,6.638080216313655,Lawrence Kasdan,1239,William Hurt,2231,0,Estados Unidos,26,6.506012378426171,4238,1,6.494793536804309,6.7
2016,110,6.420958083832336,96,1,6.486925287356322,Drama,7,6.638080216313655,Maysaloun Hamoud,1425,Jon Voight,1113,0,Reino Unido,60,6.503030303030303,2883,1,6.494793536804309,6.8
1973,70,6.911904761904762,110,1,6.486925287356322,Drama,7,6.638080216313655,Martin Scorsese,1389,Woody Allen,2236,0,Estados Unidos,26,6.506012378426171,18015,1,6.494793536804309,6.8
2019,110,6.450292397660819,125,2,6.708482438701127,Drama,7,6.638080216313655,Kasi Lemmons,1167,Cynthia Erivo,454,0,Estados Unidos,26,6.506012378426171,1294,1,6.494793536804309,5.8
2001,100,6.604464285714286,111,1,6.486925287356322,Comedia,6,6.479304635761589,Stephen Chow,1985,Stephen Chow,2033,1,Hong Kong,33,6.557777777777778,14907,1,6.494793536804309,6.0
2021,120,6.423846153846154,108,1,6.486925287356322,Drama,7,6.638080216313655,Mike Mills,1501,Joaquin Phoenix,1063,0,Estados Unidos,26,6.506012378426171,1405,1,6.494793536804309,6.8
2006,100,6.53855421686747,91,1,6.486925287356322,Drama,7,6.638080216313655,Judith Colell,1134,John Wayne,1106,0,Estados Unidos,26,6.506012378426171,1495,1,6.494793536804309,6.2
2008,100,6.485135135135135,96,1,6.486925287356322,Drama,7,6.638080216313655,José Antonio Quirós,1105,Celso Bugallo,353,0,España,25,6.403389830508475,1675,1,6.494793536804309,6.2
2012,110,6.419580419580419,114,1,6.486925287356322,Drama,7,6.638080216313655,Alex Kurtzman,66,Chris Pine,387,0,Estados Unidos,26,6.506012378426171,2866,1,6.494793536804309,6.0
2017,110,6.397093023255814,106,1,6.486925287356322,Comedia,6,6.479304635761589,Armando Iannucci,172,Steve Buscemi,2040,0,Reino Unido,60,6.503030303030303,8288,1,6.494793536804309,6.3
1984,80,6.583636363636364,102,1,6.486925287356322,Aventuras,2,6.480645161290322,Stewart Raffill,2007,Michael Paré,1560,0,Estados Unidos,26,6.506012378426171,4301,1,6.494793536804309,5.9
2005,100,6.506578947368421,93,1,6.486925287356322,Comedia,6,6.479304635761589,Jason Reitman,915,Aaron Eckhart,2,0,Estados Unidos,26,6.506012378426171,22472,1,6.494793536804309,7.0
1983,80,6.766666666666667,125,2,6.708482438701127,Drama,7,6.638080216313655,Andrei Tarkovsky,105,Oleg Yankovskiy,1687,0,Italia,41,6.670769230769231,4693,1,6.494793536804309,7.8
2015,110,6.403048780487804,121,2,6.708482438701127,Thriller,14,6.4992,Denis Villeneuve,498,Emily Blunt,612,0,Estados Unidos,26,6.506012378426171,34572,1,6.494793536804309,6.9
1987,80,6.59,90,1,6.486925287356322,Animación,1,6.707727272727273,Jerry Rees,957, ,0,0,Estados Unidos,26,6.506012378426171,3512,1,6.494793536804309,6.0
1992,90,6.7942857142857145,126,2,6.708482438701127,Intriga,10,6.5185,Phil Alden Robinson,1701,Robert Redford,1860,0,Estados Unidos,26,6.506012378426171,6307,1,6.494793536804309,6.4
2009,100,6.470779220779221,106,1,6.486925287356322,Fantástico,8,6.429508196721312,Jamin Winans,897,Christopher Soren Kelly,405,0,Estados Unidos,26,6.506012378426171,2336,1,6.494793536804309,6.4
2021,120,6.423846153846154,113,1,6.486925287356322,Drama,7,6.638080216313655,Nora Fingscheidt,1583,Ananda Everingham,110,0,Tailandia,71,6.3100000000000005,6169,1,6.494793536804309,6.2
2019,110,6.450292397660819,103,1,6.486925287356322,Drama,7,6.638080216313655,Benito Zambrano,213,Luis Tosar,1381,0,España,25,6.403389830508475,7068,1,6.494793536804309,6.8
1996,90,6.635365853658537,115,1,6.486925287356322,Drama,7,6.638080216313655,Terry George,2052,Helen Mirren,837,0,Irlanda,37,6.75945945945946,2583,1,6.494793536804309,6.8
2014,110,6.441530054644809,103,1,6.486925287356322,Drama,7,6.638080216313655,Michael Berry,1441,Ed Harris,562,0,Estados Unidos,26,6.506012378426171,1621,1,6.494793536804309,6.0
