NOTA,NOTA_AÑO,NOTA_DURACION (min),NOTA_GENERO,NOTA_DIRECCION,NOTA_PROTAGONISTA,NOTA_PAIS,NOTA_VOTOS,AÑO_RANKING,DURACION_RANKING,GENERO_RANKING,DIRECCION_RANKING,PROTAGONISTA_RANKING,PAIS_RANKING,VOTOS_RANKING
6.9,6.69,6.41,6.63,6.9,6.69,6.48,6.9,5,1,8,4,3,3,4
6.9,6.87,6.4,6.63,7.03,6.52,6.6,6.45,8,1,8,5,2,3,2
6.6,6.49,6.63,6.63,6.45,6.56,6.48,6.6,2,2,8,2,2,3,2
7.3,6.6,6.6,6.46,7.45,6.45,6.72,7.3,4,2,6,7,2,4,5
6.7,6.42,6.6,6.63,6.7,6.25,6.66,7.07,1,2,8,3,1,4,4
6.8,6.45,6.47,6.63,6.6,6.8,6.4,6.8,1,1,8,3,3,2,3
6.0,6.57,6.48,6.47,6.3,5.9,6.48,6.0,3,1,6,2,0,3,0
6.4,6.72,6.55,6.63,6.64,6.05,6.48,6.4,5,2,8,3,0,3,2
6.0,6.49,6.6,6.47,5.95,6.0,6.8,6.0,2,2,6,0,0,4,0
6.0,6.44,6.48,6.47,6.0,6.0,6.6,6.0,1,1,6,0,0,3,0
7.2,6.58,6.53,6.63,6.3,6.57,6.48,7.2,3,1,8,2,2,3,5
6.1,6.59,6.43,6.47,6.1,6.1,6.48,6.1,3,1,6,1,1,3,1
6.3,6.4,6.56,6.47,6.48,6.22,6.49,6.3,0,2,6,2,1,3,1
5.9,6.66,6.55,6.46,6.4,5.9,6.48,5.9,4,2,6,2,0,3,0
7.0,6.5,6.47,6.63,6.6,6.75,6.49,6.75,2,1,8,3,3,3,3
6.4,6.67,6.68,6.63,6.89,6.43,6.48,6.4,5,2,8,4,2,3,2
6.8,6.45,6.43,6.42,6.3,6.18,6.35,6.8,1,1,5,2,1,2,3
6.5,6.7,6.53,6.36,6.5,6.53,6.48,6.2,5,1,5,3,2,3,1
5.8,6.49,6.51,6.47,5.85,6.7,6.48,5.8,2,1,6,0,3,3,0
6.7,6.42,6.53,6.63,6.7,6.7,6.6,6.7,1,1,8,3,3,3,3
7.9,6.42,7.0,6.58,7.2,6.64,6.48,7.9,1,4,7,6,3,3,7
6.4,6.57,6.55,6.51,6.88,6.4,6.48,6.2,3,2,6,4,2,3,1
5.9,6.4,6.47,6.63,6.41,6.41,6.6,5.9,0,1,8,2,2,3,0
6.4,6.45,6.56,6.4,6.36,6.45,6.48,6.4,1,2,5,2,2,3,2
6.3,6.45,6.66,6.28,6.3,6.38,6.48,6.3,1,2,3,2,2,3,1
6.1,6.49,6.31,6.63,6.1,6.1,6.52,6.07,2,0,8,1,1,3,1
6.5,6.61,6.66,6.47,6.82,6.53,6.48,6.5,4,2,6,4,2,3,2
6.8,6.4,6.41,6.47,6.3,6.8,6.66,6.8,0,1,6,2,3,4,3
7.5,6.56,6.95,6.63,6.86,6.34,6.78,7.5,3,4,8,4,2,4,6
7.2,6.58,6.58,6.63,6.77,7.2,6.78,7.2,3,2,8,4,5,4,5
5.8,6.42,6.64,6.47,6.24,6.28,6.48,5.8,1,2,6,1,1,3,0
6.9,6.45,6.41,6.63,6.52,6.45,6.4,6.9,1,1,8,3,2,2,4
6.9,6.57,6.54,6.63,6.83,6.9,6.7,6.7,3,1,8,4,4,4,3
6.2,6.45,6.48,6.4,7.02,6.2,6.48,6.2,1,1,5,5,1,3,1
7.3,6.61,6.61,6.63,6.68,6.97,6.48,7.3,4,2,8,3,4,3,5
7.4,6.57,6.58,6.4,7.4,6.54,6.48,7.4,3,2,5,6,2,3,5
6.2,6.4,6.55,6.63,6.2,6.07,6.46,6.2,0,2,8,1,1,3,1
6.2,6.42,6.56,6.47,6.3,6.55,6.48,6.2,1,2,6,2,2,3,1
6.8,6.44,6.4,6.63,6.83,7.0,6.4,6.8,1,1,8,4,4,2,3
5.9,6.56,6.47,6.28,6.54,5.9,6.7,5.9,3,1,3,3,0,4,0
5.8,6.49,6.53,6.63,6.3,5.8,6.72,6.05,2,1,8,2,0,4,0
6.4,6.6,6.41,6.46,6.86,6.48,6.6,6.4,4,1,6,4,2,3,2
5.8,6.42,6.47,6.47,5.8,6.1,6.72,6.1,1,1,6,0,1,4,1
6.4,6.42,6.42,6.63,6.4,6.55,6.6,6.4,1,1,8,2,2,3,2
5.9,6.58,6.5,6.47,5.9,6.08,6.48,5.9,3,1,6,0,1,3,0
7.6,6.75,6.47,6.47,6.89,7.6,6.48,7.6,6,1,6,4,6,3,6
6.5,6.45,6.61,6.63,6.5,6.37,6.49,6.5,1,2,8,3,2,3,2
6.5,6.45,6.62,6.63,6.3,6.37,6.49,6.73,1,2,8,2,2,3,3
6.8,6.42,6.76,6.63,6.55,6.8,6.71,6.8,1,3,8,3,3,4,3
6.5,6.42,6.47,6.4,6.15,6.45,6.48,6.5,1,1,5,1,2,3,2
6.3,6.46,6.56,6.36,6.15,6.52,6.56,6.3,1,2,5,1,2,3,1
6.6,6.4,6.47,6.69,6.6,6.7,6.78,6.4,0,1,9,3,3,4,2
6.2,6.75,6.6,6.36,6.05,6.51,6.48,6.2,6,2,5,1,2,3,1
5.9,6.62,6.41,6.4,6.05,6.22,6.48,5.9,4,1,5,1,1,3,0
5.8,6.44,6.43,6.63,6.83,5.8,6.7,6.3,1,1,8,4,0,4,1
6.1,6.49,6.4,6.28,6.1,6.1,6.56,5.9,2,1,3,1,1,3,0
6.0,6.53,6.64,6.57,6.3,6.64,6.48,6.4,2,2,7,2,3,3,2
6.0,6.42,6.43,6.36,6.0,6.0,6.49,6.0,1,1,5,0,0,3,0
7.2,6.46,6.47,6.47,6.55,6.77,6.48,7.2,1,1,6,3,3,3,5
6.9,6.42,6.93,6.63,6.9,6.9,6.78,6.9,1,4,8,4,4,4,4
6.6,6.7,6.42,6.51,6.34,7.37,6.48,6.45,5,1,6,2,6,3,2
6.2,6.42,6.41,6.47,6.58,6.2,6.81,6.2,1,1,6,3,1,4,1
7.0,6.62,6.47,6.63,6.62,6.58,6.48,7.0,4,1,8,3,3,3,4
6.2,6.89,6.41,6.28,6.25,6.53,6.49,6.2,8,1,3,1,2,3,1
7.6,6.78,6.66,6.28,6.9,6.64,6.48,7.6,6,2,3,4,3,3,6
6.0,6.44,6.41,6.47,6.2,6.27,6.48,6.0,1,1,6,1,1,3,0
6.3,6.6,6.31,6.28,6.35,6.35,6.56,6.6,4,0,3,2,2,3,2
6.3,6.57,6.79,6.42,7.09,6.5,6.48,6.3,3,3,5,5,2,3,1
7.2,6.42,7.0,6.42,7.17,6.6,6.48,7.2,1,4,5,5,3,3,5
6.7,6.41,6.68,6.4,6.7,6.4,6.48,6.7,1,2,5,3,2,3,3
7.0,6.4,6.47,6.68,7.14,6.65,6.49,7.0,0,1,9,5,3,3,4
6.4,6.4,6.6,6.42,6.55,6.4,6.4,6.4,0,2,5,3,2,2,2
7.3,6.44,6.55,6.28,6.85,7.3,6.8,7.3,1,2,3,4,5,4,5
6.4,6.49,6.47,6.28,6.62,6.4,6.48,6.4,2,1,3,3,2,3,2
6.8,6.4,6.55,6.51,6.4,6.4,6.48,6.8,0,2,6,2,2,3,3
6.2,6.53,6.6,6.47,6.6,6.25,6.49,6.2,2,2,6,3,1,3,1
6.3,6.45,6.4,6.47,6.95,6.6,6.48,6.3,1,1,6,5,3,3,1
6.3,6.42,6.66,6.47,6.25,6.28,6.48,6.05,1,2,6,1,1,3,0
6.3,6.61,6.48,6.47,6.22,6.62,6.4,6.3,4,1,6,1,3,2,1
6.1,6.56,6.58,6.47,6.15,6.1,6.4,6.1,3,2,6,1,1,2,1
6.1,6.42,6.55,6.47,6.1,6.48,6.72,6.1,1,2,6,1,2,4,1
7.3,6.7,6.51,6.63,6.73,6.6,6.48,7.3,5,1,8,4,3,3,5
6.7,6.69,6.74,6.42,6.44,6.68,6.48,6.7,5,3,5,2,3,3,3
7.0,6.67,6.43,6.63,6.89,7.03,6.56,7.0,5,1,8,4,4,3,4
6.9,6.69,6.64,6.51,6.77,7.27,6.48,6.9,5,2,6,4,5,3,4
7.5,6.61,6.6,6.47,6.69,6.62,6.48,7.5,4,2,6,3,3,3,6
6.4,6.42,6.48,6.47,6.3,6.56,6.49,6.4,1,1,6,2,2,3,2
6.2,6.44,6.31,6.28,6.2,6.2,6.49,6.2,1,0,3,1,1,3,1
6.2,6.44,6.64,6.63,6.42,6.2,6.6,6.2,1,2,8,2,1,3,1
7.7,6.67,6.43,6.4,6.69,6.62,6.48,7.7,5,1,5,3,3,3,7
6.0,6.42,6.55,6.63,6.57,6.25,6.66,6.37,1,2,8,3,1,4,2
6.6,6.77,6.55,6.47,6.35,6.59,6.49,6.33,6,2,6,2,3,3,1
6.3,6.45,6.55,6.63,6.75,6.2,6.6,6.75,1,2,8,4,1,3,3
6.2,6.42,6.53,6.47,6.38,6.34,6.48,6.2,1,1,6,2,2,3,1
6.5,6.4,6.48,6.47,6.5,6.5,6.48,6.3,0,1,6,3,2,3,1
6.7,6.61,6.63,6.51,6.82,6.4,6.49,6.7,4,2,6,4,2,3,3
6.3,6.6,6.41,6.63,6.48,6.3,6.4,6.3,4,1,8,2,1,2,1
6.4,6.4,6.41,6.47,6.4,6.4,6.8,6.4,0,1,6,2,2,4,2
6.2,6.45,6.61,6.47,6.2,6.38,6.49,6.2,1,2,6,1,2,3,1
6.7,6.4,6.58,6.68,6.27,6.7,6.6,6.7,0,2,9,2,3,3,3
6.3,6.42,6.65,6.36,6.72,6.23,6.48,6.3,1,2,5,4,1,3,1
6.4,6.44,6.65,6.68,6.82,6.46,6.48,6.4,1,2,9,4,2,3,2
6.9,6.58,6.6,6.63,6.82,6.55,6.49,6.35,3,2,8,4,2,3,2
6.5,6.4,6.43,6.63,6.43,6.15,6.49,6.5,0,1,8,2,1,3,2
7.3,6.44,6.5,6.47,6.8,6.68,6.48,7.3,1,1,6,4,3,3,5
6.1,6.61,6.31,6.47,6.38,6.4,6.48,6.2,4,0,6,2,2,3,1
6.9,6.46,6.48,6.47,7.24,6.9,6.86,6.9,1,1,6,6,4,5,4
6.3,6.44,6.61,6.4,6.43,6.5,6.65,6.3,1,2,5,2,2,4,1
6.7,6.42,7.09,6.4,6.43,6.5,6.65,6.7,1,5,5,2,2,4,3
7.0,6.42,6.55,6.4,6.43,6.5,6.65,7.0,1,2,5,2,2,4,4
6.6,6.6,6.63,6.47,6.45,6.63,6.4,6.6,4,2,6,2,3,2,2
5.9,6.66,6.6,6.63,6.22,6.4,6.4,5.9,4,2,8,1,2,2,0
6.5,6.59,6.47,6.63,6.22,6.4,6.4,6.5,3,1,8,1,2,2,2
6.3,6.75,6.4,6.36,6.4,6.3,6.56,6.3,6,1,5,2,1,3,1
7.3,6.49,6.81,6.63,7.13,7.0,6.65,7.3,2,3,8,5,4,4,5
6.1,6.44,6.58,6.47,6.87,6.1,6.4,6.1,1,2,6,4,1,2,1
6.7,6.53,6.9,6.47,6.43,6.53,6.6,6.7,2,4,6,2,2,3,3
6.8,6.56,6.4,6.63,6.8,6.8,6.72,6.55,3,1,8,4,3,4,2
7.1,6.4,6.41,6.69,6.8,6.7,6.6,7.1,0,1,9,4,3,3,4
7.3,6.4,6.64,6.47,6.94,6.88,6.4,7.3,0,2,6,4,4,2,5
5.9,6.46,6.41,6.47,5.97,5.9,6.6,6.33,1,1,6,0,0,3,1
5.8,6.4,6.43,6.47,5.8,5.8,6.6,5.8,0,1,6,0,0,3,0
7.7,6.77,6.48,6.63,7.65,7.37,6.4,7.7,6,1,8,8,6,2,7
7.3,6.4,6.62,6.46,7.15,7.3,6.68,6.85,0,2,6,5,5,4,3
6.7,6.56,6.47,6.47,6.3,6.45,6.72,6.7,3,1,6,2,2,4,3
6.9,6.58,6.76,6.63,6.42,6.62,6.4,6.55,3,3,8,2,3,2,2
5.9,6.42,6.56,6.47,5.9,5.9,6.8,6.23,1,2,6,0,0,4,1
6.7,6.78,6.58,6.63,6.53,6.43,6.48,6.7,6,2,8,3,2,3,3
7.1,6.42,6.47,6.63,7.1,7.1,6.6,6.9,1,1,8,5,5,3,4
7.1,6.42,6.69,6.63,6.37,7.1,6.6,6.4,1,2,8,2,5,3,2
6.4,6.58,6.64,6.47,6.2,6.62,6.6,6.36,3,2,6,1,3,3,2
7.3,6.89,6.57,6.63,7.32,7.3,6.8,6.55,8,2,8,6,5,4,2
6.0,6.45,6.51,6.63,6.0,6.0,6.4,6.0,1,1,8,0,0,2,0
6.5,6.65,6.47,6.51,6.54,6.25,6.52,6.5,4,1,6,3,1,3,2
6.6,6.44,6.66,6.42,6.62,6.33,6.48,6.6,1,2,5,3,2,3,2
6.5,6.78,6.47,6.63,6.86,6.5,6.6,6.5,6,1,8,4,2,3,2
6.1,6.45,6.55,6.63,6.15,6.21,6.46,6.3,1,2,8,1,1,3,1
7.2,6.75,6.56,6.47,7.03,7.2,6.6,6.85,6,2,6,5,5,3,3
6.4,6.58,6.4,6.51,6.31,6.59,6.48,6.4,3,1,6,2,3,3,2
7.2,6.75,6.65,6.47,6.96,7.26,7.23,7.2,6,2,6,5,5,7,5
7.1,6.59,6.55,6.47,7.15,7.1,6.6,6.65,3,2,6,5,5,3,3
6.2,6.46,6.42,6.47,6.2,6.54,6.48,6.2,1,1,6,1,2,3,1
7.6,6.99,6.43,6.47,7.15,7.6,6.6,7.6,9,1,6,5,6,3,6
6.8,6.42,6.55,6.63,6.57,6.5,6.4,6.8,1,2,8,3,2,2,3
6.0,6.5,6.47,6.47,6.25,6.65,6.48,6.0,2,1,6,1,3,3,0
6.1,6.4,6.53,6.63,6.74,6.53,6.49,6.53,0,1,8,4,2,3,2
6.2,6.4,6.69,6.47,6.2,6.75,6.72,6.2,0,2,6,1,3,4,1
5.8,6.62,6.56,6.47,6.3,6.47,6.48,5.8,4,2,6,2,2,3,0
6.4,6.8,6.51,6.47,6.4,6.62,6.4,6.4,7,1,6,2,3,2,2
6.3,6.77,6.4,6.28,6.6,6.32,6.48,6.3,6,1,3,3,2,3,1
7.1,6.58,6.4,6.63,6.75,7.1,6.73,6.95,3,1,8,4,5,4,4
7.0,6.5,6.42,6.63,6.83,7.0,6.7,6.5,2,1,8,4,4,4,2
5.9,6.42,6.6,6.68,6.4,6.4,6.49,6.4,1,2,9,2,2,3,2
6.0,6.53,6.41,6.47,6.23,6.0,6.48,6.0,2,1,6,1,0,3,0
6.4,6.45,6.41,6.47,6.3,6.4,6.48,6.25,1,1,6,2,2,3,1
6.2,6.42,6.51,6.63,6.4,6.5,6.4,6.2,1,1,8,2,2,2,1
6.1,6.4,6.55,6.46,6.1,6.1,6.6,6.1,0,2,6,1,1,3,1
6.2,6.42,6.41,6.68,6.2,6.2,6.48,6.2,1,1,9,1,1,3,1
6.5,6.49,7.09,6.58,6.2,6.39,6.48,6.5,2,5,7,1,2,3,2
6.3,6.6,6.43,6.63,6.3,6.66,6.48,6.55,4,1,8,2,3,3,2
6.9,6.8,6.58,6.63,7.25,6.9,6.48,6.9,7,2,8,6,4,3,4
5.9,6.4,6.41,6.47,5.9,6.25,6.48,5.9,0,1,6,0,1,3,0
6.4,6.42,7.0,6.42,6.43,6.48,6.48,6.4,1,4,5,2,2,3,2
6.5,6.5,6.69,6.51,7.15,6.75,6.72,6.5,2,2,6,5,3,4,2
6.4,6.4,6.57,6.63,6.3,6.28,6.4,6.4,0,2,8,2,1,2,2
6.9,6.72,6.61,6.63,6.82,6.68,6.48,6.9,5,2,8,4,3,3,4
6.4,6.6,6.4,6.63,7.06,6.69,6.48,6.4,4,1,8,5,3,3,2
7.1,6.59,6.61,6.63,7.32,7.1,6.8,6.7,3,2,8,6,5,4,3
6.3,6.75,6.5,6.47,6.4,6.45,6.4,6.15,6,1,6,2,2,2,1
6.6,6.44,6.6,6.47,6.43,6.33,6.48,6.3,1,2,6,2,2,3,1
6.3,6.45,6.56,6.63,6.5,6.3,6.6,6.3,1,2,8,3,1,3,1
6.4,6.53,6.51,6.63,6.4,6.4,6.95,6.17,2,1,8,2,2,5,1
6.9,6.72,6.47,6.63,6.75,6.32,6.43,6.9,5,1,8,4,2,2,4
6.0,6.4,6.63,6.63,6.0,6.0,6.49,5.87,0,2,8,0,0,3,0
5.9,6.45,6.66,6.63,6.4,6.75,6.4,5.9,1,2,8,2,3,2,0
6.3,6.42,6.65,6.47,6.33,6.4,6.6,6.4,1,2,6,2,2,3,2
6.5,6.34,6.6,6.63,6.3,6.55,6.48,6.3,0,2,8,2,2,3,1
5.8,6.4,6.63,6.63,5.8,6.4,6.48,6.4,0,2,8,0,2,3,2
7.1,6.75,6.57,6.63,6.89,7.1,6.99,7.1,6,2,8,4,5,5,4
6.1,6.42,6.51,6.63,6.4,6.4,6.48,6.1,1,1,8,2,2,3,1
6.0,6.58,7.26,6.47,6.88,6.2,6.73,6.48,3,6,6,4,1,4,2
7.1,6.49,6.43,6.63,7.1,7.1,6.69,7.1,2,1,8,5,5,4,4
5.8,6.4,6.65,6.47,6.03,6.85,6.48,5.8,0,2,6,1,4,3,0
6.9,6.71,6.61,6.63,6.77,6.53,6.95,6.9,5,2,8,4,2,5,4
5.9,6.57,6.43,6.36,5.9,6.37,6.48,5.9,3,1,5,0,2,3,0
6.3,6.4,6.61,6.47,6.55,6.4,6.48,6.3,0,2,6,3,2,3,1
6.6,6.58,6.43,6.63,6.57,6.6,6.72,6.6,3,1,8,3,3,4,2
6.4,6.59,6.43,6.63,6.25,6.7,6.48,6.4,3,1,8,1,3,3,2
6.0,6.6,6.41,6.51,6.16,6.51,6.48,6.0,4,1,6,1,2,3,0
7.4,6.59,6.41,6.47,6.74,6.84,6.4,7.4,3,1,6,4,4,2,5
6.3,6.49,6.43,6.63,6.45,6.3,6.78,6.36,2,1,8,2,1,4,2
6.2,6.58,6.51,6.63,6.48,6.32,6.49,6.2,3,1,8,2,2,3,1
6.1,6.4,6.41,6.47,6.1,6.1,6.6,6.0,0,1,6,1,1,3,0
6.6,6.53,6.61,6.63,6.63,6.6,6.48,6.3,2,2,8,3,3,3,1
6.4,6.53,7.09,6.63,7.1,6.61,6.48,6.4,2,5,8,5,3,3,2
7.2,6.42,6.6,6.47,6.89,6.83,6.4,7.2,1,2,6,4,3,2,5
6.4,6.44,6.69,6.58,6.54,6.9,6.7,6.4,1,2,7,3,4,4,2
7.5,6.42,7.05,6.47,7.14,6.7,6.48,7.5,1,4,6,5,3,3,6
6.0,6.42,6.66,6.4,5.97,6.5,6.48,6.0,1,2,5,0,2,3,0
7.2,6.46,6.81,6.63,7.32,7.2,6.75,7.2,1,3,8,6,5,4,5
7.3,6.65,6.66,6.47,7.06,6.93,6.48,7.3,4,2,6,5,4,3,5
6.4,6.53,6.61,6.47,6.53,6.4,6.66,6.2,2,2,6,3,2,4,1
6.4,6.42,6.81,6.75,6.34,6.46,6.48,6.4,1,3,9,2,2,3,2
7.0,6.61,6.61,6.63,7.0,6.85,6.65,6.4,4,2,8,5,4,4,2
6.0,6.49,6.6,6.63,6.15,7.17,6.4,6.5,2,2,8,1,5,2,2
7.2,6.72,6.56,6.63,7.2,7.2,6.86,6.8,5,2,8,6,5,5,3
6.6,6.53,6.43,6.63,6.97,6.6,6.72,6.45,2,1,8,5,3,4,2
6.3,6.42,6.55,6.47,6.3,6.3,6.48,6.3,1,2,6,2,1,3,1
6.4,6.99,6.41,6.63,6.4,6.66,6.48,6.85,9,1,8,2,3,3,3
6.2,6.42,6.57,6.42,6.2,6.2,6.48,6.2,1,2,5,1,1,3,1
6.2,6.45,6.47,6.63,6.2,6.2,6.76,6.2,1,1,8,1,1,4,1
6.3,6.42,6.56,6.63,6.75,6.3,6.6,6.3,1,2,8,4,1,3,1
6.8,6.42,6.41,6.63,6.4,6.53,6.66,6.8,1,1,8,2,2,4,3
7.4,6.61,6.47,6.47,6.58,7.6,6.66,7.4,4,1,6,3,6,4,5
6.8,6.7,6.63,6.75,6.7,6.58,6.68,6.8,5,2,9,3,3,4,3
6.3,6.57,6.55,6.47,6.3,6.3,6.4,6.3,3,2,6,2,1,2,1
7.2,6.58,6.58,6.36,6.55,6.61,6.48,7.2,3,2,5,3,3,3,5
6.4,6.45,6.63,6.63,6.3,6.4,6.6,6.15,1,2,8,2,2,3,1
6.3,6.45,6.57,6.47,6.47,6.3,6.6,6.3,1,2,6,2,1,3,1
6.2,6.44,6.56,6.63,6.73,6.39,6.48,6.2,1,2,8,4,2,3,1
6.3,6.4,6.53,6.63,6.5,6.3,6.6,6.3,0,1,8,3,1,3,1
7.3,6.53,6.51,6.47,6.58,6.68,6.48,7.3,2,1,6,3,3,3,5
7.0,6.42,6.65,6.63,6.4,6.45,6.48,7.0,1,2,8,2,2,3,4
6.8,6.61,6.55,6.63,6.55,6.8,6.76,6.8,4,2,8,3,3,4,3
5.9,6.44,6.6,6.47,5.9,5.9,6.6,5.9,1,2,6,0,0,3,0
6.5,6.75,6.61,6.47,6.82,6.53,6.48,6.55,6,2,6,4,2,3,2
7.8,6.6,6.61,6.69,7.51,6.7,6.78,7.8,4,2,9,7,3,4,7
6.5,6.4,6.63,6.63,6.68,6.82,6.48,6.2,0,2,8,3,3,3,1
7.5,6.75,6.6,6.69,7.51,6.7,6.78,6.7,6,2,9,7,3,4,3
7.3,6.53,6.61,6.63,7.3,6.55,6.78,7.3,2,2,8,6,2,4,5
8.0,6.7,7.95,6.63,7.0,6.85,6.48,8.0,5,9,8,5,4,3,8
5.8,6.44,6.55,6.47,6.27,6.48,6.43,5.8,1,2,6,2,2,2,0
6.3,6.59,6.6,6.42,6.12,6.22,6.48,6.35,3,2,5,1,1,3,2
6.6,6.57,6.41,6.47,6.3,6.6,6.4,6.6,3,1,6,2,3,2,2
6.5,6.67,6.69,6.63,6.59,6.65,6.49,6.5,5,2,8,3,3,3,2
6.1,6.7,6.47,6.47,6.4,6.34,6.48,6.1,5,1,6,2,2,3,1
7.3,6.59,6.6,6.63,6.96,6.85,6.48,7.3,3,2,8,5,4,3,5
6.3,6.75,6.76,6.63,6.65,6.3,6.48,6.3,6,3,8,3,1,3,1
7.1,6.42,6.58,6.63,6.95,6.65,6.72,7.1,1,2,8,5,3,4,4
6.7,6.4,6.55,6.47,6.57,6.48,6.72,6.7,0,2,6,3,2,4,3
7.0,6.67,6.68,6.47,6.6,6.66,6.48,7.0,5,2,6,3,3,3,4
6.5,6.61,6.56,6.51,6.31,6.33,6.48,6.5,4,2,6,2,2,3,2
7.1,6.4,6.43,6.63,6.49,7.1,6.54,7.1,0,1,8,3,5,3,4
6.9,6.75,6.69,6.63,6.88,6.9,6.48,6.9,6,2,8,4,4,3,4
6.8,6.71,6.47,6.47,6.3,6.42,6.48,6.8,5,1,6,2,2,3,3
6.2,6.58,6.47,6.63,6.08,6.45,6.48,6.2,3,1,8,1,2,3,1
7.6,6.62,6.6,6.63,6.75,6.39,6.48,7.6,4,2,8,4,2,3,6
6.1,6.45,6.31,6.51,6.1,6.1,6.48,6.1,1,0,6,1,1,3,1
7.0,6.62,6.63,6.63,6.9,7.0,6.49,7.0,4,2,8,4,4,3,4
6.1,6.61,6.47,6.47,6.5,6.48,6.48,6.1,4,1,6,3,2,3,1
6.3,6.61,6.47,6.51,6.31,6.55,6.48,6.3,4,1,6,2,2,3,1
7.0,6.75,6.54,6.63,7.06,6.53,6.48,7.0,6,1,8,5,2,3,4
7.4,6.71,6.9,6.63,6.83,7.05,6.48,7.4,5,4,8,4,4,3,5
6.8,6.87,7.0,6.36,6.8,7.15,6.48,6.8,8,4,5,4,5,3,3
7.0,6.45,6.58,6.47,7.15,7.0,6.6,7.0,1,2,6,5,4,3,4
6.7,6.42,6.58,6.42,6.7,6.7,6.48,6.7,1,2,5,3,3,3,3
6.1,6.42,6.6,6.47,6.34,6.83,6.4,6.1,1,2,6,2,3,2,1
6.2,6.42,6.57,6.63,6.61,6.58,6.48,6.2,1,2,8,3,3,3,1
6.8,6.72,6.55,6.51,6.9,6.8,6.49,6.85,5,2,6,4,3,3,3
7.1,6.59,6.58,6.51,7.21,6.7,6.48,7.1,3,2,6,6,3,3,4
6.2,6.89,6.58,6.63,6.2,6.2,6.48,6.2,8,2,8,1,1,3,1
5.8,6.44,6.41,6.63,6.4,6.05,6.4,5.87,1,1,8,2,0,2,0
6.3,6.61,6.58,6.63,6.75,6.3,6.65,6.3,4,2,8,4,1,4,1
6.0,6.62,6.31,6.63,6.0,6.33,6.48,6.15,4,0,8,0,2,3,1
5.9,6.44,6.58,6.42,5.9,5.95,6.48,5.9,1,2,5,0,0,3,0
7.3,6.7,6.61,6.51,6.42,6.84,6.4,7.3,5,2,6,2,4,2,5
6.5,6.45,6.61,6.75,6.42,6.5,6.4,6.5,1,2,9,2,2,2,2
6.8,6.77,6.6,6.51,6.42,6.84,6.4,6.8,6,2,6,2,4,2,3
7.1,6.75,6.4,6.63,6.35,6.83,6.4,7.1,6,1,8,2,3,2,4
6.2,6.58,6.58,6.63,6.2,6.45,6.65,6.2,3,2,8,1,2,4,1
6.2,6.62,6.63,6.63,6.04,6.93,6.48,6.2,4,2,8,1,4,3,1
6.0,6.42,6.43,6.47,6.0,5.93,6.49,6.0,1,1,6,0,0,3,0
6.7,6.77,6.41,6.47,6.42,6.7,6.54,6.53,6,1,6,2,3,3,2
6.4,6.59,6.61,6.51,6.6,6.02,6.49,6.4,3,2,6,3,0,3,2
7.6,6.42,6.7,6.69,7.26,6.7,6.78,7.6,1,2,9,6,3,4,6
6.8,6.45,6.64,6.47,7.22,6.8,6.72,6.35,1,2,6,6,3,4,2
6.5,6.42,6.47,6.47,6.55,6.15,6.4,6.5,1,1,6,3,1,2,2
7.0,6.61,6.43,6.4,6.7,7.0,6.48,7.0,4,1,5,3,4,3,4
7.2,6.44,7.0,6.4,6.77,6.39,6.48,7.2,1,4,5,4,2,3,5
7.0,6.65,6.42,6.63,6.85,7.0,7.19,6.72,4,1,8,4,4,7,3
6.7,6.75,6.48,6.47,6.75,6.7,6.52,6.7,6,1,6,4,3,3,3
6.4,6.62,6.51,6.47,6.43,6.7,6.65,6.4,4,1,6,2,3,4,2
5.9,6.69,6.41,6.75,5.97,6.55,6.48,6.0,5,1,9,0,2,3,0
6.3,6.4,6.56,6.63,6.42,6.58,6.48,6.25,0,2,8,2,3,3,1
7.0,6.44,6.61,6.63,6.51,6.53,6.48,7.0,1,2,8,3,2,3,4
6.3,6.4,6.31,6.47,5.97,6.52,6.4,6.3,0,0,6,0,2,2,1
6.5,6.42,6.43,6.63,6.5,6.6,6.6,7.05,1,1,8,3,3,3,4
5.8,6.72,6.31,6.28,5.8,5.8,6.66,6.55,5,0,3,0,0,4,2
7.3,6.49,6.81,6.63,7.18,7.3,6.73,7.3,2,3,8,6,5,4,5
6.5,6.34,6.69,6.47,6.5,6.36,6.48,6.5,0,2,6,3,2,3,2
7.1,6.75,6.43,6.63,7.1,7.1,6.6,6.6,6,1,8,5,5,3,2
6.3,6.57,6.47,6.47,6.3,6.33,6.49,6.3,3,1,6,2,2,3,1
7.3,6.6,6.6,6.47,6.82,6.77,6.48,7.3,4,2,6,4,3,3,5
7.2,6.61,6.66,6.51,6.82,6.97,6.48,7.2,4,2,6,4,4,3,5
6.2,6.7,6.56,6.63,6.26,6.46,6.4,6.6,5,2,8,2,2,2,2
7.5,6.99,6.47,6.47,7.33,7.4,6.6,7.5,9,1,6,6,6,3,6
7.4,6.49,6.58,6.63,7.08,6.4,6.49,7.4,2,2,8,5,2,3,5
6.4,6.75,6.51,6.63,6.4,6.03,6.4,6.4,6,1,8,2,0,2,2
5.9,6.46,6.51,6.36,6.33,5.9,6.68,6.5,1,1,5,2,0,4,2
6.2,6.65,6.6,6.63,6.3,6.3,6.4,6.2,4,2,8,2,1,2,1
