NOTA,NOTA_AÑO,NOTA_DURACION (min),NOTA_GENERO,NOTA_DIRECCION,NOTA_PROTAGONISTA,NOTA_PAIS,NOTA_VOTOS,AÑO_RANKING,DURACION_RANKING,GENERO_RANKING,DIRECCION_RANKING,PROTAGONISTA_RANKING,PAIS_RANKING,VOTOS_RANKING
6.2,6.6,6.4,6.63,6.2,6.71,6.78,6.2,4,1,8,1,3,4,1
6.6,6.44,6.43,6.47,6.3,6.6,6.7,6.27,1,1,6,2,3,4,1
7.5,6.6,6.54,6.47,7.5,7.5,6.7,7.07,4,1,6,7,6,4,4
6.6,6.53,6.47,6.69,6.74,6.27,6.48,7.0,2,1,9,4,1,3,4
7.2,6.42,6.66,6.69,7.2,6.7,6.78,7.2,1,2,9,6,3,4,5
7.1,6.45,7.1,6.63,7.1,7.1,6.99,7.1,1,5,8,5,5,5,4
7.2,6.4,6.7,6.63,7.2,6.9,6.7,6.47,0,2,8,6,4,4,2
6.4,6.4,6.47,6.63,6.3,6.4,6.78,6.55,0,1,8,2,2,4,2
6.2,6.49,6.43,6.63,7.22,6.2,6.6,6.2,2,1,8,6,1,3,1
6.4,6.4,6.48,6.63,6.4,6.7,6.4,6.4,0,1,8,2,3,2,2
6.3,6.44,6.58,6.63,6.8,6.44,6.95,6.3,1,2,8,4,2,5,1
5.8,6.56,6.56,6.47,5.97,6.55,6.48,5.8,3,2,6,0,2,3,0
6.2,6.45,6.56,6.47,6.2,6.2,6.48,6.2,1,2,6,1,1,3,1
5.8,6.44,6.4,6.63,5.8,5.8,6.48,5.8,1,1,8,0,0,3,0
6.2,6.75,6.41,6.51,6.52,6.55,6.48,6.2,6,1,6,3,2,3,1
5.8,6.62,6.41,6.51,6.3,6.6,6.48,5.8,4,1,6,2,3,3,0
5.8,6.58,6.51,6.63,6.41,5.8,6.4,6.1,3,1,8,2,0,2,1
7.1,6.77,6.41,6.47,6.8,7.03,6.6,6.48,6,1,6,4,4,3,2
7.1,6.44,6.43,6.63,7.1,7.1,6.95,7.1,1,1,8,5,5,5,4
7.3,6.45,6.61,6.63,7.1,7.05,7.19,6.8,1,2,8,5,4,7,3
6.3,6.65,6.47,6.63,6.28,6.43,6.48,6.3,4,1,8,2,2,3,1
6.7,6.42,6.53,6.63,6.93,6.33,6.48,6.7,1,1,8,4,2,3,3
6.4,6.58,6.6,6.63,6.7,6.74,6.48,6.4,3,2,8,3,3,3,2
7.3,6.61,6.55,6.47,6.93,7.3,7.19,7.3,4,2,6,4,5,7,5
6.5,6.57,6.81,6.42,6.83,6.35,6.48,6.5,3,3,5,4,2,3,2
6.8,6.41,6.57,6.63,6.85,6.74,6.48,6.8,1,2,8,4,3,3,3
6.8,6.61,6.65,6.63,6.97,6.8,6.48,6.65,4,2,8,5,3,3,3
6.6,6.62,6.55,6.47,6.7,6.45,6.48,6.6,4,2,6,3,2,3,2
6.2,6.45,6.43,6.69,6.2,6.7,6.48,6.2,1,1,9,1,3,3,1
7.3,6.61,6.54,6.51,7.1,6.63,6.4,7.3,4,1,6,5,3,2,5
6.7,6.62,6.81,6.46,6.78,6.28,6.48,6.7,4,3,6,4,1,3,3
6.8,6.58,6.48,6.47,6.8,6.45,6.48,6.8,3,1,6,4,2,3,3
6.5,6.45,6.81,6.68,6.59,6.92,6.81,6.5,1,3,9,3,4,4,2
5.8,6.58,6.47,6.63,6.17,6.23,6.48,6.1,3,1,8,1,1,3,1
5.9,6.75,6.51,6.42,6.42,6.72,6.4,5.9,6,1,5,2,3,2,0
7.1,6.61,6.43,6.47,6.95,6.66,6.48,7.1,4,1,6,5,3,3,4
6.6,6.72,6.43,6.36,6.6,6.23,6.48,6.6,5,1,5,3,1,3,2
6.9,6.49,6.69,6.57,6.8,6.5,6.48,6.9,2,2,7,4,2,3,4
6.5,6.66,6.53,6.63,6.25,6.11,6.48,6.5,4,1,8,1,1,3,2
5.8,6.45,6.61,6.42,6.28,6.39,6.48,5.8,1,2,5,2,2,3,0
6.5,6.45,6.5,6.63,6.5,6.25,6.48,6.65,1,1,8,3,1,3,3
6.9,6.45,6.43,6.63,6.9,7.3,7.0,6.9,1,1,8,4,5,5,4
7.1,6.58,6.56,6.47,7.02,6.37,6.48,7.1,3,2,6,5,2,3,4
6.0,6.46,6.47,6.63,6.0,6.38,6.48,6.0,1,1,8,0,2,3,0
6.0,6.45,6.43,6.47,6.0,6.2,6.4,6.0,1,1,6,0,1,2,0
